"query","clicks","impressions","ctr","position","position_band","category","cluster","commercial_intent","current_or_probable_url","url_confidence","opportunity_score","recommended_action","priority"
"fotografia de comida","1","377","0.27%","7.57","7-10","DINHEIRO","gastronomia","1","/fotografo-corporativo/fotografia-gastronomica","URL_PROVAVEL","0.5387","CTR+TITLE/META","P1"
"fotos profissionais advogada","2","462","0.43%","6.83","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.5361","CTR+TITLE/META","P1"
"fotografo profissional","5","713","0.7%","9.17","7-10","DINHEIRO","outros","1","/","URL_PROVAVEL","0.5358","CTR+TITLE/META","P1"
"foto corporativa","9","3104","0.29%","3.4","4-6","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0.5238","MONITOR","P1"
"o que é dress code","0","7861","0%","6.88","7-10","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.5197","CTR+TITLE/META","P1"
"foto profissional para perfil","2","399","0.5%","9.33","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.5143","CTR+TITLE/META","P1"
"foto profissional advogada","1","268","0.37%","6.71","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.4959","CTR+TITLE/META","P1"
"foto linkedin profissional","1","193","0.52%","4.55","4-6","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.4756","CTR+TITLE/META","P1"
"fotos profissionais","25","22547","0.11%","6.73","7-10","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.4721","CTR+TITLE/META","P1"
"dress code o que é","0","3372","0%","5.31","4-6","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.4707","CTR+TITLE/META","P1"
"ensaio fotográfico feminino","4","639","0.63%","10.98","11-15","DINHEIRO","outros","1","/","URL_PROVAVEL","0.4667","CTR+TITLE/META","P1"
"ativa logística barueri","1","269","0.37%","10.28","11-15","DINHEIRO","logistica","1","/fotografo-corporativo/fotografia-de-logistica","URL_PROVAVEL","0.4606","CTR+TITLE/META","P1"
"foto linkedin","4","1092","0.37%","3.27","4-6","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.4511","MONITOR","P1"
"fotos advogada profissional","2","262","0.76%","7.18","7-10","DINHEIRO","advocacia","1","/fotografia-para-advogados","URL_PROVAVEL","0.4472","CTR+TITLE/META","P1"
"foto para perfil linkedin","1","148","0.68%","4.78","4-6","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.4422","CTR+TITLE/META","P1"
"fotos profissionais advogado","1","148","0.68%","4.91","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.4422","CTR+TITLE/META","P1"
"fotos dentista profissional","1","141","0.71%","4.28","4-6","DINHEIRO","saude","1","/fotos-profissionais-medicos","URL_PROVAVEL","0.4361","CTR+TITLE/META","P1"
"fotos profissionais dentista","1","132","0.76%","4.34","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.4274","CTR+TITLE/META","P1"
"direitos autorais de imagem","1","1746","0.06%","7.63","7-10","APOIO","direitos-uso","0.6","/faq","URL_PROVAVEL","0.4268","CTR+TITLE/META","P1"
"foto institucional","2","682","0.29%","3.29","4-6","DINHEIRO","video","1","/videos","URL_PROVAVEL","0.4252","MONITOR","P1"
"foto profissional dentista","1","128","0.78%","4.18","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.4235","CTR+TITLE/META","P1"
"ensaio profissional feminino","4","743","0.54%","3.3","4-6","DINHEIRO","outros","1","/","URL_PROVAVEL","0.4168","MONITOR","P1"
"dress code casual","0","1307","0%","4.16","4-6","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.4158","CTR+TITLE/META","P1"
"totem fotografico","1","149","0.67%","8.25","7-10","DINHEIRO","totem-foto","1","/fotografo-corporativo/totem-fotografico","URL_PROVAVEL","0.4118","CTR+TITLE/META","P1"
"como tirar uma foto profissional","1","117","0.85%","5.45","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.4118","CTR+TITLE/META","P1"
"fotos profissional para perfil","1","115","0.87%","5.11","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.4091","CTR+TITLE/META","P1"
"poses para fotos corporativas femininas","2","154","1.3%","4.73","4-6","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0.4079","CTR+TITLE/META","P1"
"foto de advocacia","0","376","0%","3.28","4-6","DINHEIRO","advocacia","1","/fotografia-para-advogados","URL_PROVAVEL","0.401","MONITOR","P1"
"foto profissional de advogado","1","107","0.93%","4.7","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.3996","CTR+TITLE/META","P1"
"como tirar foto profissional","3","182","1.65%","5.7","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.3993","CTR+TITLE/META","P1"
"foto de perfil linkedin","1","428","0.23%","3.68","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.398","MONITOR","P1"
"fotografia gastronomica","1","133","0.75%","9.76","7-10","DINHEIRO","gastronomia","1","/fotografo-corporativo/fotografia-gastronomica","URL_PROVAVEL","0.3941","CTR+TITLE/META","P1"
"tirar foto profissional","1","102","0.98%","4.6","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.3927","CTR+TITLE/META","P1"
"dimensões capa linkedin","1","130","0.77%","9.93","7-10","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.3902","CTR+TITLE/META","P1"
"fotos corporativas masculinas","1","124","0.81%","8.4","7-10","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0.3823","CTR+TITLE/META","P1"
"tipos de dress code","2","864","0.23%","5.48","4-6","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.3806","CTR+TITLE/META","P1"
"fotos impressas na hora eventos","2","129","1.55%","5.45","4-6","DINHEIRO","eventos","1","/eventos-corporativos","URL_PROVAVEL","0.379","CTR+TITLE/META","P1"
"poses para fotos executivas masculinas","1","50","0.02%","4.12","4-6","DINHEIRO","outros","1","/","URL_PROVAVEL","0.3787","CTR+TITLE/META","P1"
"fundo para fotografia profissional","2","180","1.11%","7.75","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.3782","CTR+TITLE/META","P1"
"dress code esporte fino","1","784","0.13%","7.19","7-10","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.3751","CTR+TITLE/META","P1"
"pose para foto","1","14446","0.01%","7.6","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.3692","INTERNAL LINK (blog->money)","P1"
"ensaio de fotos profissionais","1","110","0.91%","9.13","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.3628","CTR+TITLE/META","P1"
"retrato profissional","4","422","0.95%","10.29","11-15","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.3621","CTR+TITLE/META","P1"
"roupa dress code","0","508","0%","4.4","4-6","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.3611","CTR+TITLE/META","P1"
"fotos para perfil profissional","2","323","0.62%","3.24","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.3605","MONITOR","P1"
"o que e dress code","0","500","0%","6.97","7-10","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.3602","CTR+TITLE/META","P1"
"foto de perfil","1","1652","0.06%","8.3","7-10","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.353","CTR+TITLE/META","P1"
"foto para perfil do linkedin","1","70","1.43%","4.6","4-6","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.3381","CTR+TITLE/META","P1"
"fotografias profissionais","0","1076","0%","7.15","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.3371","CTR+TITLE/META","P1"
"fotógrafo","2","1566","0.13%","10.6","11-15","DINHEIRO","fotografo-generico","0.5","/fotografo-corporativo","URL_PROVAVEL","0.3368","CTR+TITLE/META","P1"
"programa para editar videos","0","1061","0%","8.38","7-10","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.3364","CTR+TITLE/META","P1"
"rocha queiroz advogados","1","93","1.08%","9.52","7-10","DINHEIRO","advocacia","1","/fotografia-para-advogados","URL_PROVAVEL","0.3334","CTR+TITLE/META","P1"
"poses para fotos","3","5488","0.05%","7.42","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.3289","INTERNAL LINK (blog->money)","P1"
"melhor editor de video para celular","2","1141","0.18%","9.15","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.3264","CTR+TITLE/META","P1"
"pose de foto","3","4770","0.06%","6.89","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.3228","INTERNAL LINK (blog->money)","P1"
"o que é foto de perfil","2","1050","0.19%","6.7","7-10","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.3218","CTR+TITLE/META","P1"
"ensaio corporativo advogada","1","86","1.16%","6.85","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.3201","CTR+TITLE/META","P1"
"fotos profissionais para trabalho","3","975","0.31%","5.27","4-6","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.3195","CTR+TITLE/META","P1"
"aplicativos para editar videos","13","1463","0.89%","4.89","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.3128","CTR+TITLE/META","P1"
"ensaio foto profissional","1","25","0.04%","10.32","11-15","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.3096","CTR+TITLE/META","P1"
"editar videos","1","726","0.14%","9","7-10","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.3082","CTR+TITLE/META","P1"
"foto de comida","18","8763","0.21%","1.2","1-3","DINHEIRO","gastronomia","1","/fotografo-corporativo/fotografia-gastronomica","URL_PROVAVEL","0.3033","MONITOR","P1"
"aplicativos de vídeo","1","643","0.16%","7.82","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.3012","CTR+TITLE/META","P1"
"melhor horario para postar foto no feed","0","510","0%","9.63","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.3011","CTR+TITLE/META","P1"
"o que é uma foto de perfil","0","499","0%","6.7","7-10","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.3001","CTR+TITLE/META","P1"
"ensaio fotográfico profissional feminino","2","173","1.16%","3.24","4-6","DINHEIRO","outros","1","/","URL_PROVAVEL","0.2982","MONITOR","P2"
"esporte fino dress code","1","215","0.47%","5.43","4-6","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.2932","CTR+TITLE/META","P2"
"foto de blazer","0","429","0%","8.21","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.2928","CTR+TITLE/META","P2"
"aplicativos para editar vídeos","3","624","0.48%","4.99","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.2922","CTR+TITLE/META","P2"
"ensaio fotografico advogada","1","74","1.35%","8.11","7-10","DINHEIRO","advocacia","1","/fotografia-para-advogados","URL_PROVAVEL","0.2919","CTR+TITLE/META","P2"
"aplicativos de edição de video","8","886","0.9%","5.2","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.2909","CTR+TITLE/META","P2"
"apps para editar videos","8","881","0.91%","4.67","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.2902","CTR+TITLE/META","P2"
"melhores editores de video para celular","1","524","0.19%","8.72","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.2897","CTR+TITLE/META","P2"
"fotografo","29","4146","0.7%","10.2","11-15","DINHEIRO","fotografo-generico","0.5","/fotografo-corporativo","URL_PROVAVEL","0.2896","CTR+TITLE/META","P2"
"foto impressa","0","399","0%","9.77","7-10","DINHEIRO","totem-foto","0.5","/fotografo-corporativo/totem-fotografico","URL_PROVAVEL","0.2893","CTR+TITLE/META","P2"
"foto social","0","398","0%","7.15","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.2892","CTR+TITLE/META","P2"
"significado de fotos sinceras","0","394","0%","9.38","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.2887","CTR+TITLE/META","P2"
"foto de você","0","380","0%","6.1","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.2869","CTR+TITLE/META","P2"
"dress code social","3","1356","0.22%","3.81","4-6","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.2845","MONITOR","P2"
"fundo de imagem profissional","3","187","1.6%","3.22","4-6","DINHEIRO","outros","1","/","URL_PROVAVEL","0.2832","MONITOR","P2"
"ensaio fotográfico corporativo feminino","1","111","0.9%","3.59","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.2831","MONITOR","P2"
"empresa ativa logística","1","69","1.45%","8.81","7-10","DINHEIRO","logistica","1","/fotografo-corporativo/fotografia-de-logistica","URL_PROVAVEL","0.2781","CTR+TITLE/META","P2"
"melhor editor de vídeo para celular","3","629","0.48%","9.7","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.278","CTR+TITLE/META","P2"
"fundo para fotos","2","1585","0.13%","6.74","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.2764","INTERNAL LINK (blog->money)","P2"
"ensaio fotografico dentista","3","60","0.05%","3.5","4-6","DINHEIRO","saude","1","/fotos-profissionais-medicos","URL_PROVAVEL","0.2762","MONITOR","P2"
"aplicativos para fazer videos","2","508","0.39%","6.54","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.2748","CTR+TITLE/META","P2"
"melhores aplicativos para editar vídeos","4","532","0.75%","4.12","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.2747","CTR+TITLE/META","P2"
"pose foto","0","1225","0%","6.76","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.2747","INTERNAL LINK (blog->money)","P2"
"foto profissional feminina","12","3766","0.32%","1.5","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.2734","MONITOR","P2"
"apps de edição de video","9","749","1.2%","4.82","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.2717","CTR+TITLE/META","P2"
"fotos posicionamento profissional","1","46","2.17%","5.13","4-6","DINHEIRO","outros","1","/","URL_PROVAVEL","0.271","CTR+TITLE/META","P2"
"como é foto de perfil","1","383","0.26%","6.7","7-10","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.2707","CTR+TITLE/META","P2"
"fotos profissionais para perfil","1","376","0.27%","8.13","7-10","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.2692","CTR+TITLE/META","P2"
"aplicativos de videos","2","465","0.43%","7.37","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.2683","CTR+TITLE/META","P2"
"poses para foto","0","1038","0%","7.96","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.2683","INTERNAL LINK (blog->money)","P2"
"foto comercial","1","317","0.32%","4.11","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.2671","CTR+TITLE/META","P2"
"pose pra foto","0","948","0%","7.43","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.2648","INTERNAL LINK (blog->money)","P2"
"ensaio fotográfico advogada","1","64","1.56%","7.73","7-10","DINHEIRO","advocacia","1","/fotografia-para-advogados","URL_PROVAVEL","0.2634","CTR+TITLE/META","P2"
"roupas para ensaio fotográfico profissional","1","88","1.14%","3.34","4-6","DINHEIRO","outros","1","/","URL_PROVAVEL","0.2602","MONITOR","P2"
"fotos profissionais odontologia","1","43","2.33%","4.5","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.259","CTR+TITLE/META","P2"
"pose para fotos","0","798","0%","8.15","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.2582","INTERNAL LINK (blog->money)","P2"
"dress code traje social","1","133","0.75%","4.43","4-6","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.2572","CTR+TITLE/META","P2"
"editor de vídeo profissional para celular","1","62","1.61%","7.74","7-10","DINHEIRO","video","1","/videos","URL_PROVAVEL","0.257","CTR+TITLE/META","P2"
"fotografia profissional corporativa","1","42","2.38%","4.71","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.2552","CTR+TITLE/META","P2"
"app de edição de video profissional","1","60","1.67%","7.72","7-10","DINHEIRO","edicao-apps","1","/blog","URL_PROVAVEL","0.2497","CTR+TITLE/META","P2"
"pose para tirar foto","0","636","0%","7.71","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.2494","INTERNAL LINK (blog->money)","P2"
"fotos de comida","9","1867","0.48%","1.1","1-3","DINHEIRO","gastronomia","1","/fotografo-corporativo/fotografia-gastronomica","URL_PROVAVEL","0.2478","MONITOR","P2"
"editor de video para celular","3","419","0.72%","8.92","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.245","CTR+TITLE/META","P2"
"aplicativos para edição de vídeos","1","217","0.46%","5.11","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.245","CTR+TITLE/META","P2"
"cor na fotografia","0","545","0%","7.11","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.2435","INTERNAL LINK (blog->money)","P2"
"qual melhor horario para postar na quarta feira","1","58","1.72%","7.64","7-10","DINHEIRO","feiras-stands","1","/fotografo-corporativo/fotografo-feiras-stands","URL_PROVAVEL","0.2433","CTR+TITLE/META","P2"
"dicas de fotografia profissional","1","39","2.56%","4.49","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.2422","CTR+TITLE/META","P2"
"dress code social completo","1","456","0.22%","3.27","4-6","APOIO","outros","0.6","/blog","URL_PROVAVEL","0.2416","MONITOR","P2"
"foto de pose","0","512","0%","4.84","4-6","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.241","INTERNAL LINK (blog->money)","P2"
"dicas de fotos","1","201","0.5%","5.5","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.2403","CTR+TITLE/META","P2"
"melhor dia para postar foto no instagram","1","236","0.42%","8.75","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.2394","CTR+TITLE/META","P2"
"editor de vídeo gratuito para celular","2","312","0.64%","9.89","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.238","CTR+TITLE/META","P2"
"ensaio profissional advogada","2","96","2.08%","6.29","7-10","DINHEIRO","advocacia","1","/fotografia-para-advogados","URL_PROVAVEL","0.2376","CTR+TITLE/META","P2"
"look para foto profissional","2","61","3.28%","4.23","4-6","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.2351","CTR+TITLE/META","P2"
"lugares para fazer ensaio fotográfico de debutante em sp","2","61","3.28%","4.82","4-6","DINHEIRO","lugares-fotografar","1","/blog","URL_PROVAVEL","0.2351","CTR+TITLE/META","P2"
"editar video no celular","3","370","0.81%","6.73","7-10","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.2342","CTR+TITLE/META","P2"
"poses de foto","0","425","0%","5.91","4-6","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.2339","INTERNAL LINK (blog->money)","P2"
"como tirar fotos profissionais de perfil","0","419","0%","5.95","4-6","AUTORIDADE","foto-profissional","0.4","/foto-profissional","URL_PROVAVEL","0.2333","INTERNAL LINK (blog->money)","P2"
"sao paulo fotos","1","176","0.57%","4.91","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0.2321","CTR+TITLE/META","P2"
"como fazer uma foto profissional","2","94","2.13%","6.4","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.2316","CTR+TITLE/META","P2"
"aplicativos para fazer vídeo","1","208","0.48%","6.18","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.2304","CTR+TITLE/META","P2"
"estilo de foto para linkedin","1","10","0.1%","5.3","4-6","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.2287","CTR+TITLE/META","P2"
"fundo para foto profissional","3","959","0.31%","2.1","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.2281","MONITOR","P2"
"fotos corporativas femininas","4","989","0.4%","2.1","1-3","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0.228","MONITOR","P2"
"melhores aplicativos para editar vídeo","1","164","0.61%","4.84","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.2277","CTR+TITLE/META","P2"
"aplicativos de edição de vídeo","1","160","0.62%","4.86","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.2263","CTR+TITLE/META","P2"
"foto corporativa feminina","4","916","0.44%","1.6","1-3","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0.2249","MONITOR","P2"
"poses para fotos profissionais femininas","1","405","0.25%","4.97","4-6","AUTORIDADE","foto-profissional","0.4","/foto-profissional","URL_PROVAVEL","0.2248","INTERNAL LINK (blog->money)","P2"
"fotografo gastronomico","1","10","0.1%","12.4","11-15","DINHEIRO","gastronomia","1","/fotografo-corporativo/fotografia-gastronomica","URL_PROVAVEL","0.2223","CTR+TITLE/META","P2"
"fotos para linkedin","2","757","0.26%","2.59","1-3","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0.2209","MONITOR","P2"
"fundo de foto profissional","16","1131","1.41%","2.78","1-3","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0.219","MONITOR","P2"
"poses","2","491","0.41%","8.79","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0.2176","INTERNAL LINK (blog->money)","P2"
"foto comida","2","691","0.29%","1.5","1-3","DINHEIRO","gastronomia","1","/fotografo-corporativo/fotografia-gastronomica","URL_PROVAVEL","0.2175","MONITOR","P2"
"fotos corporativa","1","58","1.72%","3.88","4-6","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0.2164","MONITOR","P2"
"como tirar fotos profissionais","3","555","0.54%","7.74","7-10","AUTORIDADE","foto-profissional","0.4","/foto-profissional","URL_PROVAVEL","0.2149","INTERNAL LINK (blog->money)","P2"
"aplicativos gratuitos para editar videos","1","134","0.75%","4.99","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.2146","CTR+TITLE/META","P2"
"foto advogado","1","596","0.17%","1.24","1-3","DINHEIRO","advocacia","1","/fotografia-para-advogados","URL_PROVAVEL","0.214","MONITOR","P2"
"ideias de fotos profissionais","0","522","0%","3.42","4-6","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0.2116","MONITOR","P2"
"apps de videos","1","159","0.63%","7.21","7-10","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.2107","CTR+TITLE/META","P2"
"aplicativos para edição de video","1","123","0.81%","4.53","4-6","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0.2092","CTR+TITLE/META","P2"
"editores de video para celular","2","221","0.9%","9.35","7-10","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0.2087","CTR+TITLE/META","P2"
"foto de uma comida","0","435","0%","1","1-3","DINHEIRO","gastronomia","1","/fotografo-corporativo/fotografia-gastronomica","URL_PROVAVEL","0.2054","MONITOR","P2"
"foto executiva","4","550","0.73%","1.63","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0.2047","MONITOR","P2"
