post,topic,clicks,impressions,best_money_page,secondary_money_page,anchor_suggestion,context,max_new_links,notes
/blog/personal-branding-como-estabelecer-sua-marca-pessoal,personal branding,3,962,/fotografia-executiva,/quem-e-o-ale,"marca pessoal com retrato executivo","corpo",1,""
/blog/fotografo-da-dicas-para-fotografar-comida,fotografar comida,3,712,/fotografo-corporativo/gastronomia,—,"fotografia gastronômica","corpo",1,""
/blog/fotografo-da-dicas-de-3-formas-de-destacar-seus-eventos,destacar eventos,3,706,/eventos-corporativos,/fc/fotografo-de-eventos-corporativos,"fotografia de eventos","corpo",2,""
/blog/profissional-liberal-conheca-7-dicas-para-superar-os-desafios-na-carreira,profissional liberal,3,351,/foto-profissional,/fotografia-executiva,"foto profissional para autônomos","corpo",1,""
/blog/12-dicas-de-como-planejar-sua-festa-de-confraternizacao-fotografo-de-eventos,confraternização,2,1452,/fc/fotografo-de-eventos-corporativos,/eventos-corporativos,"cobertura de confraternização","corpo",2,"cluster eventos"
/blog/sua-empresa-funciona-sem-voce-aprenda-a-profissionalizar-a-gestao-para-que-ela-continue-a-existir-sem-voce,gestão,2,991,/fotografo-corporativo,—,"fotografia para empresas","fechamento",0,"link fraco; opcional"
/blog/fotografo-explica-porque-sua-empresa-deve-obter-fotos-tiradas-com-drones,drone,2,632,/fc/fotos-aereas,/videos,"fotos aéreas com drone","corpo",2,"cluster drone (demanda zero no GSC; link ainda vale)"
/blog/uso-de-drones-e-eventos-corporativos-tem-feito-toda-a-diferenca,drone em eventos,2,265,/fc/fotos-aereas,/fc/fotografo-de-eventos-corporativos,"drone em eventos corporativos","corpo",2,""
/blog/entenda-qual-a-importancia-da-identidade-visual-para-o-seu-negocio,identidade visual,2,116,/fotografo-corporativo,—,"identidade visual com fotografia corporativa","corpo",1,""
/blog/mindfulness-saiba-o-que-e-e-como-essa-tecnica-pode-ajudar-voce-em-sua-vida-pessoal-e-profissional,mindfulness,2,100,—,—,—,—,0,"sem money page clara; NÃO forçar link"
/blog/fotografia-imobiliaria-corporativa-aceleracao-vendas,fotografia imobiliária,2,60,/fotografo-corporativo/fotografo-de-arquitetura-e-interiores,/fc/fotos-aereas,"fotografia de arquitetura e interiores","corpo",2,"página de arquitetura existe (371 impr)"
NOTA,,,,,,,,,"Regra: máx. 1-3 links contextuais por post; âncoras variadas (nunca repetir exata em todos); inserir só onde houver contexto real; não reescrever posts vencedores; 'melhores horários de postagem' post: título corrigido no blog real ('melhores horários'); âncoras sugeridas são exemplos, não texto obrigatório"
