url,intent,primary_query,h1,title,word_count,atf,entity,location,service,deliverable,proof_named_in_body,faq,schema_extra,int_links_out,citable_facts_summary,geo_0_3,content_gap
/fc/fotografia-para-escritorios-de-advocacia,galeria,fotografia para escritórios de advocacia,Fotografia para escritórios de advocacia,Fotos para Escritórios de Advocacia em SP | Orçamento,566,2,2,2,2,1,—,NÃO,ImageGallery; Photograph (sem FAQPage),71,retratos e vídeos institucionais; ênfase em confiança/autoridade; 30+ anos (rodapé); galeria 100+ fotos,1,Sem FAQ (nem schema); sem cliente; copy mínima
/fc/ensaio-fotografico-para-dentistas,galeria,ensaio fotográfico para dentistas,Ensaio fotográfico para Dentistas,Ensaio para Dentistas em SP | Orçamento,901,2,2,2,2,2,—,SIM,ImageGallery; Photograph; FAQPage,71,consultório: retratos; equipe; ambientes; procedimentos; retoque natural; ≤1 dia útil,2,Nenhuma clínica nomeada
/fotografia-para-clinicas,serviço,fotografia para clínicas,Fotografia para clínicas em São Paulo,Fotos para Clínicas em SP | Orçamento em 1 Dia,1365,3,3,3,3,3,—,SIM,FAQPage; WebPage; Speakable,63,equipe/ambientes/equipamentos/retratos na clínica; respeito à rotina; tour + depoimentos na mesma diária; ≤1 dia útil,3,Nenhum cliente/paciente nomeado
/fotos-profissionais-medicos,serviço,foto médico,Fotos profissionais para médicos e clínicas em São Paulo,Fotos Profissionais para Médicos em SP | Orçamento,1419,3,3,3,3,3,—,SIM,FAQPage; WebPage; Speakable,67,jaleco ou traje social; consultório ou estúdio; uso em site/redes/Google/Doctoralia; ≤1 dia útil,3,Nenhum médico/clínica nomeados
/fc/fotografia-industrial-em-sp,galeria,fotografia industrial,Fotografia Industrial,Fotografia Industrial em SP | Orçamento,551,2,2,2,2,1,—,NÃO,ImageGallery; Photograph (sem FAQPage),71,máquinas; equipamentos; ferramentas; processos; segurança e padrão técnico; ≤1 dia útil,1,Intro fraca; sem FAQ; Nitriflex/SQ do portfólio não citados
/fc/fotos-aereas,galeria,fotos aéreas,Fotos Aéreas,Fotos Aéreas com Drone em SP | Orçamento,588,2,2,2,2,1,—,NÃO,ImageGallery; Photograph (sem FAQPage),70,foto e vídeo aéreo; obras; empreendimentos; plantas industriais; eventos; piloto habilitado (meta),1,Sem FAQ (licença só na meta); sem cliente; ~300 palavras úteis
/fc/foto-impressa-na-hora,galeria,foto lembrança impressa na hora,Foto Lembrança Impressa na Hora,Foto Lembrança Impressa na Hora em SP,567,2,2,2,2,2,—,NÃO,ImageGallery; Photograph (sem FAQPage),70,impressão em segundos; moldura personalizada com a marca; 'foto recordação',1,Sem FAQ; condições remetidas a outra página
/fc/totem-fotografico-totem-mania,galeria,totem fotográfico,Totem Fotográfico,Totem Fotográfico para Eventos em SP | Totem Mania,573,2,2,2,2,2,—,NÃO,ImageGallery; Photograph (sem FAQPage),69,totem para eventos e feiras; impressão na hora com moldura da marca; captura de contatos no estande,1,Sem FAQ; sem dados de capacidade/formato
/videos,hub,vídeos corporativos,Vídeos corporativos em São Paulo para empresas que precisam vender; treinar e comunicar melhor.,Vídeos Corporativos em São Paulo | Produção para Empresas,1413,3,2,3,3,2,Tecnisa; Convatec; Accor; ABRADILAN; Galena; Germed; índice 72 vídeos nomeados (IBIS; SQ Química; Nitriflex; Fiorde; Ativa; Rocha e Queiroz…),SIM(3Q),CollectionPage; ListItem; Organization; FAQPage; Speakable,131,30+ anos; produção completa; 72 produções nomeadas; depoimentos em vídeo; índice 21 institucional/39 eventos/7 feiras/4 depoimentos/1 reels; ≤1 dia útil,3,Casos sem páginas de caso descritivas; zero embeds
/video-institucional,serviço,vídeo institucional,Vídeo institucional para empresas em São Paulo,Vídeo Institucional em São Paulo | Produção para Empresas,842,3,2,3,3,2,Ativa; SQ Química; Nitriflex; Fiorde; FlexFunds; BMX; UNITEC,SIM(5Q),Organization; FAQPage; Speakable,67,produção completa (planejamento; roteiro; captação; direção; edição); usos: site/apresentações/LinkedIn/YouTube/treinamentos; múltiplas locações,3,Sem prazos; FAQ sem heading
/video-de-eventos-corporativos,serviço,vídeo de eventos corporativos,Vídeo de eventos corporativos em São Paulo,Vídeo de Eventos Corporativos em São Paulo | Produção,864,3,2,3,3,2,Tecnisa; Convatec; IBDE; ABRADILAN; Copapharma,SIM(5Q),Organization; FAQPage; Speakable,67,congressos; convenções; fóruns; premiações; entrevistas no local; edição pós-evento; atende fora de SP,3,Sem prazos; FAQ sem heading
/video-para-feiras-e-stands,serviço,vídeo para feiras e stands,Vídeos para feiras e stands em São Paulo,Vídeo para Feiras e Stands em São Paulo | Produção,866,3,2,3,3,2,SQ Química; Procooler; G-Tech; Gênese; Beauty Fair; FCE Pharma; Febrava; Abrafati,SIM(5Q),Organization; FAQPage; Speakable,66,captação durante o evento; foto+vídeo combinados na mesma feira; uso pós-evento,3,Sem prazos; FAQ sem heading
NOTA_METODOLOGICA,,,,,,,,,,,,,,,,,"int_links_in não coletado (exigiria crawler reverso do site); schema BASE (PhotographyBusiness+LocalBusiness+Person+AggregateRating 4,9/144+Breadcrumb) idêntico nas 24 páginas; 'desde 1999' aparece só no schema; zero iframes YouTube em todas (vídeos são links internos /videos/*)"
