legacy_domain,old_url,status,title,h1,primary_intent,content_quality,unique_content,similar_current_url,recommended_target_domain,recommended_target_url,action,redirect_confidence,content_to_merge_before_redirect,risk,notes
"fotografoale.com.br","https://fotografoale.com.br/videos-corporativos","200","Vídeos corporativos Fotografo Profissional Alexandre Machado Fotógrafo profissional em São Paulo","Vídeos corporativos","","","","","videoscorporativos.com.br","","MIGRATE + 301","MEDIUM","conteudo audiovisual: preferir case correspondente em /videos do principal ou VC conforme dono do tema","MEDIUM","decisao editorial"
"fotografoale.com.br","https://fotografoale.com.br/category/dicadefotografia","200","Dica de fotografia Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/category/empreendedorismonegocios","200","Empreendedorismo & Negócios Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/category/retratoscorporativos","200","Retratos corporativos Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/quem-e-o-ale","200","Quem é o Alê Fotografo Profissional Alexandre Machado Fotógrafo profissional em São Paulo","Fotógrafo Corporativo Alexandre Machado","","","","https://www.alefotografo.com.br/quem-e-o-ale","alefotografo.com.br","/quem-e-o-ale","MIGRATE + 301","HIGH","nada","LOW","mesmo slug no principal"
"fotografoale.com.br","https://fotografoale.com.br/depoimentos","200","Depoimentos Fotografo Profissional Alexandre Machado Fotógrafo profissional em São Paulo","","","","","https://www.alefotografo.com.br/depoimentos","alefotografo.com.br","/depoimentos","MIGRATE + 301","HIGH","nada","LOW",""
"fotografoale.com.br","https://fotografoale.com.br/fotografo-de-feiras-de-negocios-em-sao-paulo","200","Fotografo de Feiras de Negócios em São Paulo Fotografo Profissional Alexandre Machado","Fotografo de Feiras de Negócios em São Paulo","","","","https://www.alefotografo.com.br/fotografo-corporativo/fotografo-feiras-stands","alefotografo.com.br","/fotografo-corporativo/fotografo-feiras-stands","MIGRATE + 301","MEDIUM","confirmar slug exato no principal antes de 301","LOW",""
"fotografoale.com.br","https://fotografoale.com.br/totem-fotografico-em-sao-paulo","200","Totem Fotográfico em São Paulo Fotografo Profissional Alexandre Machado","Totem Fotográfico em São Paulo","","","","https://www.alefotografo.com.br/fotografo-corporativo/totem-fotografico","alefotografo.com.br","/fotografo-corporativo/totem-fotografico","MIGRATE + 301","MEDIUM","verificar equivalente no principal (existe /foto-impressa-na-hora)","LOW","possivel sinonimo"
"fotografoale.com.br","https://fotografoale.com.br/fotografo-de-eventos-corporativos-em-sao-paulo","200","Fotografo de Eventos Corporativos em São Paulo Fotografo Profissional Alexandre Machado","Fotografo de Eventos Corporativos em São Paulo","","","","https://www.alefotografo.com.br/fotografo-corporativo/fotografo-de-eventos-corporativos","alefotografo.com.br","/fotografo-corporativo/fotografo-de-eventos-corporativos","MIGRATE + 301","HIGH","","LOW",""
"fotografoale.com.br","https://fotografoale.com.br/fotografia-corporativa-em-sao-paulo","200","Fotografia Corporativa em São Paulo Fotografo Profissional Alexandre Machado","Fotografia Corporativa em São Paulo","","","","https://www.alefotografo.com.br/fotografo-corporativo/fotografia-corporativa-em-sao-paulo","alefotografo.com.br","/fotografo-corporativo/fotografia-corporativa-em-sao-paulo","MIGRATE + 301","HIGH","","LOW",""
"fotografoale.com.br","https://fotografoale.com.br/posicionamento-e-reposicionamento-de-imagem-voce-sabe-qual-a-diferenca","200","Posicionamento e Reposicionamento de Imagem: você sabe qual a diferença? Fotografo Profissional Alexandre Machado","Posicionamento e Reposicionamento de Imagem: você sabe qual a diferença?","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/retrato-corporativo2","200","Retrato Corporativo Fotografo Profissional Alexandre Machado","Retrato Corporativo","","","","https://www.alefotografo.com.br/foto-profissional","alefotografo.com.br","/foto-profissional","MIGRATE + 301","HIGH","nada","LOW","intencao retrato"
"fotografoale.com.br","https://fotografoale.com.br/5-poses-para-retrato-corporativo","200","5 poses para Retrato Corporativo Fotografo Profissional Alexandre Machado","5 poses para Retrato Corporativo","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/tag/fotodeperfilparalinkin","200","foto de perfil para LinkIn Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/tag/retratodemulheresdesucesso","200","retrato de mulheres de sucesso Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/tag/retratodehomemdenegocios","200","retrato de homem de negocios Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/tag/retratodeempresario","200","retrato de empresario Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/tag/retratodeadvogado","200","retrato de advogado Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/tag/fotografiainstitucional","200","Fotografia institucional Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/tag/fotografoempresarial","200","Fotógrafo empresarial Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/tag/fotografocorporativo","200","Fotógrafo Corporativo Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/tag/retratocorporativo","200","Retrato corporativo Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/blog","200","Blog Fotografo Profissional Alexandre Machado Fotógrafo profissional em São Paulo","Blog","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotografoale.com.br","https://fotografoale.com.br/i-congresso-brasileiro-de-direito-da-empresa-no-novo-futebol-ibde","200","I Congresso Brasileiro de Direito da Empresa no Novo Futebol - IBDE Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotografoale.com.br","https://fotografoale.com.br/encontro-farmarcas-20222","200","Encontro Farmarcas 2022 Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotografoale.com.br","https://fotografoale.com.br/salomao-concursos-aulao-em-sao-paulo","200","Salomão Concursos - Aulão em São Paulo Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotografoale.com.br","https://fotografoale.com.br/jantar-febrafar-2022","200","Jantar Febrafar 2022 Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotografoale.com.br","https://fotografoale.com.br/latin-sales-meeting-2022-convatec","200","Latin Sales Meeting 2022 - Convatec Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotografoale.com.br","https://fotografoale.com.br/curso-de-prestacao-de-contas-eleitorais-professora-rita","200","Curso de Prestação de Contas Eleitorais - Professora Rita Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotografoale.com.br","https://fotografoale.com.br/fotografo-especializado-em-retratos-profissionais","200","Fotografo especializado em Retratos Profissionais Fotografo Profissional Alexandre Machado","","","","","https://www.alefotografo.com.br/foto-profissional","alefotografo.com.br","/foto-profissional","MIGRATE + 301","HIGH","nada","LOW","intencao retrato"
"fotografoale.com.br","https://fotografoale.com.br/especializado-em-fotografia-corporativa","200","Especializado em Fotografia Corporativa Fotografo Profissional Alexandre Machado","","","","","https://www.alefotografo.com.br/fotografo-corporativo/fotografia-corporativa-em-sao-paulo","alefotografo.com.br","/fotografo-corporativo/fotografia-corporativa-em-sao-paulo","MIGRATE + 301","HIGH","","LOW",""
"fotografoale.com.br","https://fotografoale.com.br/ibis-botucatu-video-manifesto","200","IBIS Botucatu - Video manifesto Fotografo Profissional Alexandre Machado","","","","","","videoscorporativos.com.br","","MIGRATE + 301","MEDIUM","conteudo audiovisual: preferir case correspondente em /videos do principal ou VC conforme dono do tema","MEDIUM","decisao editorial"
"fotografoale.com.br","https://fotografoale.com.br/teaser-inauguracao-ibis-botucatu","200","Teaser Inauguração - IBIS Botucatu Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotografoale.com.br","https://fotografoale.com.br/fotos-para-youtuber","200","Fotos para Youtuber Fotografo Profissional Alexandre Machado","","","","","https://www.alefotografo.com.br/foto-profissional","alefotografo.com.br","/foto-profissional","MIGRATE + 301","HIGH","nada","LOW","intencao retrato"
"fotografoale.com.br","https://fotografoale.com.br/fotografo-especialista-em-retrato-profissional","200","Fotógrafo especialista em Retrato Profissional Fotografo Profissional Alexandre Machado","","","","","https://www.alefotografo.com.br/foto-profissional","alefotografo.com.br","/foto-profissional","MIGRATE + 301","HIGH","nada","LOW","intencao retrato"
"fotografoale.com.br","https://fotografoale.com.br/7o-forum-abradilan","200","7º Fórum ABRADILAN Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotografoale.com.br","https://fotografoale.com.br/confraternizacao-abradilan","200","Confraternização ABRADILAN Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotografoale.com.br","https://fotografoale.com.br/retratos-profissionais-em-estudio-salomao-concursos-ale-fotografo","200","Retratos profissionais em estúdio - Salomão Concursos - Alê Fotógrafo Fotografo Profissional Alexandre Machado","","","","","https://www.alefotografo.com.br/foto-profissional","alefotografo.com.br","/foto-profissional","MIGRATE + 301","HIGH","nada","LOW","intencao retrato"
"fotografoale.com.br","https://fotografoale.com.br/sq-quimica-na-abrafati-show-2022","200","SQ Quimica na ABRAFATI SHOW 2022 Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotografoale.com.br","https://fotografoale.com.br/ativa-logistica-video-do-programa-de-sustentabilidade","200","ATIVA Logistica - Video do programa de sustentabilidade Fotografo Profissional Alexandre Machado","","","","","","videoscorporativos.com.br","","MIGRATE + 301","MEDIUM","conteudo audiovisual: preferir case correspondente em /videos do principal ou VC conforme dono do tema","MEDIUM","decisao editorial"
"fotografoale.com.br","https://fotografoale.com.br/galena-35-anos","200","Galena 35 anos Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotografoale.com.br","https://fotografoale.com.br/fotografo-profissional-alexandre-machado","200","Fotografo Profissional Alexandre Machado Fotografo Profissional Alexandre Machado","","","","","https://www.alefotografo.com.br/fotografo-profissional-em-sao-paulo","alefotografo.com.br","/fotografo-profissional-em-sao-paulo","MIGRATE + 301","HIGH","","LOW",""
"fotografoale.com.br","https://fotografoale.com.br/encontro-farmarcas-2022","200","Encontro Farmarcas 2022 Fotografo Profissional Alexandre Machado","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/?page_id=4305","200","Novidades do Mundo da Fotografia","","","","","https://www.alefotografo.com.br/foto-profissional","alefotografo.com.br","/foto-profissional","MIGRATE + 301","HIGH","nada (home legado espelha marca pessoal)","LOW","home do legado = mesma entidade do site principal"
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/como-se-destacar-no-mercado-de-fotografia/","200","PSICOLOGIA DAS CORES E FOTOGRAFIA","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/psicologia-das-cores-e-fotografia-saiba-como-elas-interagem/","200","PSICOLOGIA DAS CORES E FOTOGRAFIA","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/como-tirar-uma-boa-fotografia/","200","PSICOLOGIA DAS CORES E FOTOGRAFIA","Como tirar uma boa fotografia","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/fotos-de-eventos-corporativos/","200","Fotos de Eventos Corporativos - Alê Fotografo","","","","","https://www.alefotografo.com.br/fotografo-corporativo/fotografo-de-eventos-corporativos","alefotografo.com.br","/fotografo-corporativo/fotografo-de-eventos-corporativos","MIGRATE + 301","HIGH","","LOW",""
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/fotografia-institucional/","200","Fotografia Institucional - Alê Fotografo","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/ale-em-acao/","200","Alê em ação - Alê Fotografo","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/fotografia-de-produtos/","200","Fotografia de Produtos - Alê Fotografo","","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/retratocorporativo/","200","Retrato Corporativo - Alexandre Machado","","","","","https://www.alefotografo.com.br/foto-profissional","alefotografo.com.br","/foto-profissional","MIGRATE + 301","HIGH","nada","LOW","intencao retrato"
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/foto_profissional_quem_e_o_ale/","200","Foto Profissional - Alê Fotográfo","FOTÓGRAFO PROFISSIONAL ALEXANDRE MACHADO","","","","","","","MANUAL REVIEW","LOW","AVALIAR: galeria de evento com nome de cliente real — mapear para case/pagina correspondente no principal","MEDIUM","sem regra automatica; nao inventar equivalencia"
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/retrato_corporativo_ale_fotografo_contato/","200","Retrato Corporativo - Alê Fotográfo","","","","","https://www.alefotografo.com.br/contato","alefotografo.com.br","/contato","MIGRATE + 301","HIGH","nada","LOW",""
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/linktree/","200","Fale com Alê - Alê Fotográfo","","","","","https://www.alefotografo.com.br/contato","alefotografo.com.br","/contato","MIGRATE + 301","HIGH","nada","LOW",""
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/category/dica-de-fotografia/","200","Arquivo de Dica de Fotografia - Alê Fotografo","","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/category/dicas-do-ale-fotografo/","200","Arquivo de Dicas do Alê Fotógrafo - Alê Fotografo","","","","","","","","MANUAL REVIEW","LOW","avaliar posts com trafego antes de decidir (pode ir para /blog do principal se tiver valor unico)","MEDIUM","conteudo editorial antigo; Wayback indica posts que nao existem no principal"
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/pacote-diamante/","DESCONHECIDO (fora do sitemap atual — verificar antes de migrar)","","","","","","","alefotografo.com.br","/foto-profissional","MIGRATE + 301","MEDIUM","pacotes de retrato seguem regra P18A: /foto-profissional","MEDIUM","URL do Wayback CDX; confirmar status atual"
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/pacote-influencer/","DESCONHECIDO (fora do sitemap atual — verificar antes de migrar)","","","","","","","alefotografo.com.br","/foto-profissional","MIGRATE + 301","MEDIUM","pacotes de retrato seguem regra P18A: /foto-profissional","MEDIUM","URL do Wayback CDX; confirmar status atual"
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/pacote-ouro/","DESCONHECIDO (fora do sitemap atual — verificar antes de migrar)","","","","","","","alefotografo.com.br","/foto-profissional","MIGRATE + 301","MEDIUM","pacotes de retrato seguem regra P18A: /foto-profissional","MEDIUM","URL do Wayback CDX; confirmar status atual"
"fotodeperfilprofissional.com.br","https://fotodeperfilprofissional.com.br/pacote-prata/","DESCONHECIDO (fora do sitemap atual — verificar antes de migrar)","","","","","","","alefotografo.com.br","/foto-profissional","MIGRATE + 301","MEDIUM","pacotes de retrato seguem regra P18A: /foto-profissional","MEDIUM","URL do Wayback CDX; confirmar status atual"
