"prompt_id","prompt","category","query_type","branded_status","local_intent","target_cluster","preferred_owned_domain","preferred_page","notes"
"R01","Preciso contratar um fotógrafo corporativo em São Paulo. Quais profissionais ou empresas devo considerar?","recommendation","RECOMMENDATION","NON-BRANDED","YES","corporate","alefotografo.com.br","/fotografo-corporativo",""
"R02","Preciso fazer fotos profissionais para LinkedIn em São Paulo. Quais fotógrafos trabalham com esse tipo de retrato?","recommendation","RECOMMENDATION","NON-BRANDED","YES","linkedin","alefotografo.com.br","/foto-profissional-para-linkedin",""
"R03","Minha empresa precisa atualizar as fotos dos executivos e da equipe. Quem faz fotografia corporativa em São Paulo?","recommendation","RECOMMENDATION","NON-BRANDED","YES","corporate","alefotografo.com.br","/fotografia-executiva",""
"R04","Preciso de um fotógrafo para um evento corporativo em São Paulo. Quais opções você recomenda pesquisar?","recommendation","RECOMMENDATION","NON-BRANDED","YES","events","alefotografo.com.br","/fotografo-corporativo/fotografo-de-eventos-corporativos",""
"R05","Tenho uma transportadora e preciso produzir fotos profissionais de frota, galpão, equipe e operação logística. Quais fotógrafos em São Paulo trabalham com esse tipo de projeto?","recommendation","RECOMMENDATION","NON-BRANDED","YES","logistics","alefotografo.com.br","/fotografo-corporativo/fotografia-de-logistica",""
"R06","Preciso produzir um vídeo institucional para uma empresa em São Paulo. Quais empresas ou profissionais devo pesquisar?","recommendation","RECOMMENDATION","NON-BRANDED","YES","video","videoscorporativos.com.br","https://videoscorporativos.com.br/video-institucional-sao-paulo",""
"R07","Preciso de foto e vídeo para um evento corporativo. Quem oferece os dois serviços em São Paulo?","recommendation","RECOMMENDATION","NON-BRANDED","YES","video","alefotografo.com.br","/videos","intenção integrada — ownership compartilhado com VC"
"R08","Preciso de fotos aéreas e vídeos com drone para uma empresa. Quais profissionais trabalham com isso em São Paulo?","recommendation","RECOMMENDATION","NON-BRANDED","YES","drone","alefotografo.com.br","/fotografo-corporativo/fotos-aereas",""
"R09","Preciso acompanhar uma obra periodicamente com fotos e vídeos feitos por drone. Quais empresas ou profissionais oferecem esse serviço em São Paulo?","recommendation","RECOMMENDATION","NON-BRANDED","YES","drone","alefotografo.com.br","/fotografo-corporativo/fotos-aereas",""
"R10","Quero oferecer foto lembrança impressa na hora em um evento corporativo. Quais empresas ou fotógrafos trabalham com esse serviço?","recommendation","RECOMMENDATION","NON-BRANDED","NO","photo_activation","alefotografo.com.br","/fotografo-corporativo/foto-impressa-na-hora",""
